date,day,1,2,3,4,5,6,2P
5/1/2015,1,121,40,40,40,12,0,71
5/2/2015,2,78,45,66,0,22,3,84
5/3/2015,3,94,56,51,19,6,0,67
5/4/2015,4,79,52,49,26,8,14,108
5/5/2015,5,96,53,29,24,0,0,48
5/6/2015,6,126,88,36,16,15,2,42
5/7/2015,7,73,65,21,31,0,10,27
5/8/2015,8,137,98,53,4,6,0,72
5/9/2015,9,123,88,20,21,22,0,46
5/10/2015,10,125,79,17,9,30,2,132
5/11/2015,11,120,69,51,20,4,2,81
5/12/2015,12,89,81,73,22,9,22,120
5/13/2015,13,98,124,34,35,10,2,59
5/14/2015,14,123,60,54,20,39,7,59
5/15/2015,15,86,120,51,26,18,0,133
5/16/2015,16,118,117,50,14,0,14,53
5/17/2015,17,100,108,38,24,15,0,68
5/18/2015,18,96,100,48,13,23,7,20
5/19/2015,19,78,97,37,24,8,0,48
5/20/2015,20,137,56,43,6,7,7,67
5/21/2015,21,137,67,34,35,7,9,82
5/22/2015,22,121,72,21,13,13,0,69
5/23/2015,23,109,93,56,12,3,2,67
5/24/2015,24,150,72,64,22,13,0,63
5/25/2015,25,120,75,48,32,6,0,144
5/26/2015,26,123,59,26,8,6,0,66
5/27/2015,27,125,60,45,7,0,0,69
5/28/2015,28,129,58,45,27,14,16,105
5/29/2015,29,90,94,65,39,8,0,69
5/30/2015,30,102,69,68,21,9,0,56
5/31/2015,31,94,95,43,6,25,10,80
6/1/2015,32,220,184,81,28,25,9,69
6/2/2015,33,216,142,154,38,10,0,65
6/3/2015,34,298,133,122,15,36,2,37
6/4/2015,35,319,172,142,26,25,21,53
6/5/2015,36,286,220,145,18,2,23,147
6/6/2015,37,321,347,115,14,8,4,57
6/7/2015,38,361,204,105,21,35,6,71
6/8/2015,39,377,148,109,32,8,18,36
6/9/2015,40,293,193,101,24,17,7,34
6/10/2015,41,347,258,112,37,2,16,118
6/11/2015,42,360,153,138,2,16,0,49
6/12/2015,43,395,233,123,7,11,17,91
6/13/2015,44,401,227,155,9,19,18,26
6/14/2015,45,415,237,146,6,14,19,53
6/15/2015,46,452,189,101,43,8,12,102
6/16/2015,47,434,215,145,25,49,6,95
6/17/2015,48,407,175,119,12,10,19,13
6/18/2015,49,310,211,137,27,19,15,19
6/19/2015,50,373,201,131,18,19,9,61
6/20/2015,51,459,287,168,10,7,24,97
6/21/2015,52,510,246,168,19,0,4,83
6/22/2015,53,369,264,138,39,15,0,44
6/23/2015,54,413,252,134,32,29,0,82
6/24/2015,55,420,277,212,14,10,6,24
6/25/2015,56,402,244,170,36,2,25,92
6/26/2015,57,395,249,136,26,16,0,51
6/27/2015,58,456,217,106,16,4,22,69
6/28/2015,59,330,231,184,26,8,12,104
6/29/2015,60,454,247,212,18,19,8,20
6/30/2015,61,389,269,112,12,6,0,68
7/1/2015,62,517,319,235,29,18,21,40
7/2/2015,63,511,355,107,13,16,12,43
7/3/2015,64,692,420,270,29,30,6,38
7/4/2015,65,683,461,266,23,25,0,98
7/5/2015,66,734,436,312,26,45,6,56
7/6/2015,67,460,387,234,19,29,0,25
7/7/2015,68,534,337,233,37,19,8,52
7/8/2015,69,527,356,288,21,8,2,53
7/9/2015,70,529,312,248,30,11,11,14
7/10/2015,71,620,505,185,33,23,22,23
7/11/2015,72,839,468,222,31,54,0,93
7/12/2015,73,698,356,340,23,4,11,28
7/13/2015,74,562,363,166,50,27,14,41
7/14/2015,75,457,234,219,77,44,16,20
7/15/2015,76,387,224,146,30,17,0,19
7/16/2015,77,510,271,184,26,18,0,32
7/17/2015,78,780,367,321,17,8,6,53
7/18/2015,79,625,387,232,35,15,0,37
7/19/2015,80,565,350,254,51,49,2,67
7/20/2015,81,543,282,227,24,29,5,48
7/21/2015,82,503,227,177,38,26,12,90
7/22/2015,83,516,221,173,22,22,7,77
7/23/2015,84,707,285,223,41,27,21,29
7/24/2015,85,758,349,277,34,20,28,61
7/25/2015,86,623,340,208,28,18,7,57
7/26/2015,87,619,391,307,27,21,7,109
7/27/2015,88,506,292,219,20,16,3,62
7/28/2015,89,523,237,199,19,5,8,20
7/29/2015,90,527,276,148,44,25,10,63
7/30/2015,91,553,312,233,30,30,26,19
7/31/2015,92,753,467,221,25,33,7,67
8/1/2015,93,572,346,190,32,28,11,38
8/2/2015,94,636,265,197,49,16,8,19
8/3/2015,95,524,260,172,34,45,9,20
8/4/2015,96,482,238,193,37,25,0,57
8/5/2015,97,365,207,185,39,4,7,22
8/6/2015,98,442,164,173,28,9,12,89
8/7/2015,99,553,381,215,40,35,10,27
8/8/2015,100,633,220,133,4,34,9,68
8/9/2015,101,658,201,229,47,30,6,58
8/10/2015,102,490,257,218,25,9,0,86
8/11/2015,103,478,243,177,29,25,24,136
8/12/2015,104,501,188,152,43,21,8,68
8/13/2015,105,346,153,128,19,15,0,49
8/14/2015,106,488,326,166,16,2,6,36
8/15/2015,107,536,197,219,34,13,2,39
8/16/2015,108,523,236,204,2,29,0,88
8/17/2015,109,391,171,158,36,31,0,93
8/18/2015,110,508,255,136,46,12,2,19
8/19/2015,111,522,168,143,61,12,4,33
8/20/2015,112,392,183,167,37,0,15,39
8/21/2015,113,461,262,171,38,20,29,79
8/22/2015,114,455,259,165,42,9,6,89
8/23/2015,115,486,291,208,34,33,0,14
8/24/2015,116,481,282,195,33,25,0,35
8/25/2015,117,474,289,107,22,13,0,87
8/26/2015,118,488,245,200,34,34,0,100
8/27/2015,119,419,332,106,17,9,6,41
8/28/2015,120,452,288,204,29,17,0,48
8/29/2015,121,398,304,156,33,9,10,33
8/30/2015,122,539,290,209,23,23,0,73
8/31/2015,123,447,229,116,52,25,8,81
9/1/2015,124,471,190,167,29,22,7,39
9/2/2015,125,326,136,101,29,19,3,85
9/3/2015,126,336,141,159,32,6,14,39
9/4/2015,127,418,250,154,31,16,21,78
9/5/2015,128,398,245,127,41,9,14,73
9/6/2015,129,350,155,122,39,15,11,84
9/7/2015,130,231,192,114,28,25,10,113
9/8/2015,131,257,189,110,25,15,6,19
9/9/2015,132,313,174,149,14,38,23,76
9/10/2015,133,309,177,90,24,13,2,33
9/11/2015,134,332,260,125,15,18,32,46
9/12/2015,135,391,255,110,28,0,19,45
9/13/2015,136,386,206,95,44,14,7,83
9/14/2015,137,317,177,168,0,9,8,40
9/15/2015,138,356,196,139,31,36,2,40
9/16/2015,139,312,172,94,20,2,12,41
9/17/2015,140,338,209,149,9,23,6,49
9/18/2015,141,261,145,208,0,19,9,82
9/19/2015,142,313,274,184,38,23,2,29
9/20/2015,143,286,292,166,33,36,14,130
9/21/2015,144,250,127,160,41,38,2,22
9/22/2015,145,326,98,148,14,9,2,46
9/23/2015,146,304,170,144,34,13,6,23
9/24/2015,147,237,238,103,36,19,0,28
9/25/2015,148,305,273,154,34,3,25,69
9/26/2015,149,310,197,174,23,12,5,14
9/27/2015,150,315,185,114,17,11,6,76
9/28/2015,151,244,246,100,10,15,13,107
9/29/2015,152,370,197,80,25,7,8,16
9/30/2015,153,279,197,136,13,12,12,79
10/1/2015,154,165,91,82,32,0,9,52
10/2/2015,155,107,105,41,2,6,7,14
10/3/2015,156,163,97,49,13,25,14,47
10/4/2015,157,134,52,59,17,27,9,38
10/5/2015,158,102,63,23,10,2,2,44
10/6/2015,159,63,56,50,14,0,0,24
10/7/2015,160,79,84,16,12,6,0,19
10/8/2015,161,66,44,38,21,10,18,82
10/9/2015,162,95,52,16,28,0,7,27
10/10/2015,163,85,14,106,4,2,0,8
10/11/2015,164,65,57,45,12,21,0,38
10/12/2015,165,56,68,3,19,7,2,87
10/13/2015,166,59,66,28,3,2,8,118
10/14/2015,167,40,16,45,18,9,8,112
10/15/2015,168,72,44,50,11,6,0,85
10/16/2015,169,51,73,30,3,0,23,50
10/17/2015,170,110,40,39,0,0,12,124
10/18/2015,171,57,52,38,4,7,4,114
10/19/2015,172,40,37,0,26,0,6,59
10/20/2015,173,53,17,26,48,20,0,59
10/21/2015,174,45,56,7,21,31,0,38
10/22/2015,175,73,26,67,18,11,0,77
10/23/2015,176,41,54,74,22,13,2,68
10/24/2015,177,54,66,38,21,6,0,26
10/25/2015,178,77,74,40,31,24,0,42
10/26/2015,179,80,47,25,28,6,26,67
10/27/2015,180,47,41,33,33,9,0,47
10/28/2015,181,59,48,19,24,0,8,63
10/29/2015,182,83,36,40,8,8,2,44
10/30/2015,183,101,22,35,19,22,13,6
10/31/2015,184,103,53,35,22,22,3,127
11/1/2015,185,35,12,8,8,0,2,76
11/2/2015,186,28,19,7,6,3,2,23
11/3/2015,187,24,6,21,16,2,0,42
11/4/2015,188,14,17,22,0,0,6,8
11/5/2015,189,0,28,3,8,23,0,73
11/6/2015,190,32,7,19,7,0,0,93
11/7/2015,191,23,0,9,9,0,0,26
11/8/2015,192,27,31,3,0,6,15,84
11/9/2015,193,14,19,0,0,0,0,49
11/10/2015,194,14,20,8,7,0,4,84
11/11/2015,195,31,8,0,20,2,0,103
11/12/2015,196,29,22,0,20,0,4,50
11/13/2015,197,13,14,12,8,7,2,59
11/14/2015,198,12,16,18,13,0,0,94
11/15/2015,199,11,20,11,0,6,6,88
11/16/2015,200,17,31,11,7,11,0,99
11/17/2015,201,8,12,14,2,6,0,93
11/18/2015,202,9,3,19,10,14,0,19
11/19/2015,203,4,19,16,11,4,6,73
11/20/2015,204,4,7,13,13,11,0,35
11/21/2015,205,0,26,7,0,2,7,71
11/22/2015,206,26,17,6,9,0,11,56
11/23/2015,207,19,24,8,0,0,12,74
11/24/2015,208,15,37,12,0,0,0,79
11/25/2015,209,15,30,2,9,6,7,90
11/26/2015,210,13,10,24,0,3,9,70
11/27/2015,211,10,3,26,12,0,0,25
11/28/2015,212,20,4,26,13,4,0,62
11/29/2015,213,24,13,4,27,0,0,129
11/30/2015,214,24,14,0,24,13,0,81
12/1/2015,215,23,0,0,14,0,6,53
12/2/2015,216,16,2,0,8,16,0,67
12/3/2015,217,11,5,6,0,0,0,141
12/4/2015,218,6,0,6,10,8,3,19
12/5/2015,219,16,0,8,3,0,5,59
12/6/2015,220,5,7,22,0,0,2,81
12/7/2015,221,6,11,0,4,2,0,38
12/8/2015,222,19,0,12,0,9,0,67
12/9/2015,223,6,7,3,0,0,5,48
12/10/2015,224,12,8,0,6,0,0,120
12/11/2015,225,4,3,6,0,11,0,46
12/12/2015,226,21,0,0,2,0,0,33
12/13/2015,227,10,17,15,0,0,0,118
12/14/2015,228,0,18,7,2,0,9,64
12/15/2015,229,8,13,9,0,0,8,34
12/16/2015,230,8,12,0,0,0,0,128
12/17/2015,231,6,2,0,0,0,6,57
12/18/2015,232,4,4,0,2,0,11,66
12/19/2015,233,6,0,14,7,6,0,40
12/20/2015,234,6,7,6,15,0,0,58
12/21/2015,235,0,34,0,0,0,0,49
12/22/2015,236,12,22,0,0,3,0,19
12/23/2015,237,0,13,12,0,0,0,59
12/24/2015,238,5,12,0,14,0,0,22
12/25/2015,239,7,2,26,0,0,6,87
12/26/2015,240,9,4,13,0,3,0,82
12/27/2015,241,6,14,0,0,3,4,44
12/28/2015,242,6,9,3,7,0,0,56
12/29/2015,243,16,11,6,0,9,0,28
12/30/2015,244,8,8,9,6,0,0,49
12/31/2015,245,23,9,6,0,0,0,39
1/1/2016,246,2,0,16,2,0,0,54
1/2/2016,247,6,0,9,10,0,0,20
1/3/2016,248,4,0,30,0,0,0,65
1/4/2016,249,6,5,14,0,0,0,109
1/5/2016,250,9,13,0,0,0,2,19
1/6/2016,251,9,7,0,10,0,0,101
1/7/2016,252,6,9,0,6,2,0,118
1/8/2016,253,19,6,0,9,0,0,47
1/9/2016,254,28,0,0,0,0,12,122
1/10/2016,255,0,14,7,8,2,0,67
1/11/2016,256,12,0,14,3,0,8,22
1/12/2016,257,6,0,4,4,0,10,56
1/13/2016,258,11,0,0,4,14,0,102
1/14/2016,259,0,32,0,0,0,0,87
1/15/2016,260,8,15,6,0,0,0,100
1/16/2016,261,15,6,0,0,0,4,66
1/17/2016,262,32,4,2,0,0,0,89
1/18/2016,263,26,21,3,0,0,0,8
1/19/2016,264,17,13,0,21,0,0,97
1/20/2016,265,9,21,6,0,3,0,20
1/21/2016,266,14,9,0,6,0,0,98
1/22/2016,267,2,11,0,0,0,7,76
1/23/2016,268,2,0,18,11,0,0,20
1/24/2016,269,9,3,6,6,0,0,74
1/25/2016,270,11,7,0,9,0,4,76
1/26/2016,271,18,3,0,0,2,0,33
1/27/2016,272,6,11,13,0,0,0,96
1/28/2016,273,10,12,2,2,0,0,70
1/29/2016,274,23,0,6,3,7,0,16
1/30/2016,275,0,25,9,0,0,0,38
1/31/2016,276,9,0,11,2,0,0,60
2/1/2016,277,49,4,32,12,15,0,12
2/2/2016,278,35,31,9,24,10,0,39
2/3/2016,279,35,13,0,6,3,18,97
2/4/2016,280,35,34,14,0,7,0,39
2/5/2016,281,17,29,46,0,0,0,71
2/6/2016,282,19,9,9,27,2,7,68
2/7/2016,283,22,24,19,29,9,0,31
2/8/2016,284,21,25,29,8,15,0,20
2/9/2016,285,19,12,17,15,6,3,42
2/10/2016,286,52,13,0,0,21,13,31
2/11/2016,287,34,17,7,9,11,7,45
2/12/2016,288,8,6,34,6,30,0,46
2/13/2016,289,27,23,19,11,22,0,90
2/14/2016,290,8,44,16,27,0,17,95
2/15/2016,291,19,6,15,14,3,3,85
2/16/2016,292,18,37,13,25,8,7,43
2/17/2016,293,12,17,11,9,8,0,110
2/18/2016,294,11,26,20,14,3,13,20
2/19/2016,295,15,1,15,9,18,0,25
2/20/2016,296,30,26,22,12,2,0,60
2/21/2016,297,8,14,4,22,0,6,22
2/22/2016,298,18,18,0,20,6,6,91
2/23/2016,299,33,13,29,9,18,11,57
2/24/2016,300,32,18,20,6,7,0,19
2/25/2016,301,53,8,16,16,2,2,97
2/26/2016,302,12,23,17,0,11,0,49
2/27/2016,303,9,23,27,23,2,4,71
2/28/2016,304,57,38,2,0,6,0,82
2/29/2016,305,22,14,20,10,11,0,19
3/1/2016,306,30,13,7,21,6,0,90
3/2/2016,307,25,39,33,3,0,8,22
3/3/2016,308,17,31,6,23,9,2,10
3/4/2016,309,23,2,12,14,6,2,89
3/5/2016,310,24,46,17,0,12,8,108
3/6/2016,311,33,21,6,2,18,0,58
3/7/2016,312,13,25,6,0,24,0,45
3/8/2016,313,30,4,2,9,0,2,78
3/9/2016,314,17,19,18,7,7,0,117
3/10/2016,315,50,43,5,8,0,5,39
3/11/2016,316,25,23,14,0,4,3,48
3/12/2016,317,12,20,16,10,2,0,98
3/13/2016,318,44,25,0,28,2,2,97
3/14/2016,319,43,16,2,15,12,0,37
3/15/2016,320,23,29,9,19,13,4,61
3/16/2016,321,21,4,23,4,19,0,81
3/17/2016,322,40,14,6,7,15,4,75
3/18/2016,323,19,30,19,9,0,0,106
3/19/2016,324,16,17,35,8,3,0,61
3/20/2016,325,26,20,15,16,0,4,50
3/21/2016,326,29,34,8,17,0,12,59
3/22/2016,327,2,18,0,24,6,1,14
3/23/2016,328,35,2,0,9,7,0,89
3/24/2016,329,25,26,7,32,0,2,19
3/25/2016,330,40,38,0,11,6,6,19
3/26/2016,331,51,26,9,13,0,0,43
3/27/2016,332,49,20,7,15,2,3,60
3/28/2016,333,30,23,8,8,2,0,82
3/29/2016,334,43,29,0,9,1,0,39
3/30/2016,335,38,0,8,9,24,13,68
3/31/2016,336,32,27,12,12,14,7,30
4/1/2016,337,41,13,12,14,20,3,18
4/2/2016,338,32,23,20,18,9,4,57
4/3/2016,339,22,25,15,15,6,0,48
4/4/2016,340,10,36,14,7,8,3,109
4/5/2016,341,11,32,18,22,0,12,92
4/6/2016,342,45,33,25,10,4,15,57
4/7/2016,343,48,13,8,6,0,14,81
4/8/2016,344,12,45,10,9,0,10,20
4/9/2016,345,29,27,3,12,7,0,42
4/10/2016,346,28,40,23,19,10,0,20
4/11/2016,347,41,29,15,11,0,6,69
4/12/2016,348,36,48,17,8,11,9,49
4/13/2016,349,30,10,31,23,13,14,14
4/14/2016,350,35,34,8,0,8,0,53
4/15/2016,351,80,16,18,18,11,2,64
4/16/2016,352,69,9,24,8,2,7,57
4/17/2016,353,37,19,3,13,9,4,80
4/18/2016,354,25,30,17,7,7,0,34
4/19/2016,355,29,29,5,13,6,0,28
4/20/2016,356,41,44,1,11,4,6,20
4/21/2016,357,33,25,6,6,6,17,20
4/22/2016,358,20,33,25,17,20,0,18
4/23/2016,359,24,34,26,30,6,0,60
4/24/2016,360,21,37,9,20,18,15,91
4/25/2016,361,33,15,4,25,0,0,39
4/26/2016,362,31,26,2,4,7,0,50
4/27/2016,363,42,34,6,9,6,0,35
4/28/2016,364,17,34,24,25,7,9,16
4/29/2016,365,44,14,20,17,8,8,87
4/30/2016,366,23,56,9,19,12,0,41
5/1/2016,367,93,98,95,6,7,9,49
5/2/2016,368,74,73,46,2,11,11,49
5/3/2016,369,134,69,71,30,29,4,50
5/4/2016,370,91,20,30,27,9,2,73
5/5/2016,371,163,53,24,37,21,0,24
5/6/2016,372,85,93,65,20,13,6,103
5/7/2016,373,121,54,43,22,16,14,60
5/8/2016,374,100,62,46,14,2,6,34
5/9/2016,375,112,60,44,47,48,8,26
5/10/2016,376,124,117,53,21,28,23,68
5/11/2016,377,118,75,10,34,28,0,78
5/12/2016,378,82,83,30,46,15,25,81
5/13/2016,379,161,49,41,11,9,0,141
5/14/2016,380,163,69,46,25,17,0,10
5/15/2016,381,175,70,26,21,23,9,14
5/16/2016,382,87,69,79,23,9,17,19
5/17/2016,383,127,62,17,5,9,8,19
5/18/2016,384,116,46,3,31,0,0,84
5/19/2016,385,77,70,50,37,25,7,123
5/20/2016,386,139,63,75,49,33,12,123
5/21/2016,387,150,87,27,40,28,2,77
5/22/2016,388,175,39,49,46,36,4,29
5/23/2016,389,116,59,23,4,15,0,19
5/24/2016,390,168,50,53,33,28,6,20
5/25/2016,391,113,83,52,13,8,12,84
5/26/2016,392,96,58,22,30,24,0,20
5/27/2016,393,123,130,62,7,0,0,19
5/28/2016,394,130,86,46,23,26,4,20
5/29/2016,395,119,60,37,17,29,8,70
5/30/2016,396,114,51,14,24,17,10,87
5/31/2016,397,153,72,40,29,54,9,27
